City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Champerico,GT,86.0,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
305,Bethel,US,64.4,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
306,Kampot,KH,82.4,clear sky,10.6167,104.1833,Two Moons Hotel
307,Dogondoutchi,NE,81.64,overcast clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
308,Camocim,BR,76.53,overcast clouds,-2.9022,-40.8411,Hotel Ilha do Amor
310,Wanning,CN,81.68,overcast clouds,18.8003,110.3967,Paradise Hotel
315,Adelaide,AU,66.99,scattered clouds,-34.9333,138.6,The Chancellor on Currie
316,Boca Do Acre,BR,72.41,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
317,Verrettes,HT,80.6,clear sky,19.05,-72.4667,"La Verrettienne,Hôtel/Restaurant/Club"
318,Safaga,EG,66.2,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
319,Kavieng,PG,84.43,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
320,Cabo San Lucas,MX,84.2,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
321,Mount Isa,AU,89.6,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
322,Ambilobe,MG,70.77,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
323,Balaguer,ES,53.01,overcast clouds,41.7912,0.8109,Hotel Balaguer
325,Ahipara,NZ,66.24,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
328,North Bend,US,57.0,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
329,Salalah,OM,77.0,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
331,Richards Bay,ZA,72.27,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
332,Port Hardy,CA,53.6,few clouds,50.6996,-127.4199,Airport Inn
333,Waiuku,NZ,68.0,light rain,-37.25,174.75,Waiuku Lodge Motel
338,Samarai,PG,78.98,overcast clouds,-10.6167,150.6667,Nuli Sapi
339,Kiunga,PG,88.97,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
340,Mercedes,AR,62.01,clear sky,-34.6515,-59.4307,Posada del Inti Centro
341,Manokwari,ID,83.71,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
342,Bubaque,GW,77.43,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
343,Huangchuan,CN,56.7,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
344,Touros,BR,78.8,clear sky,-5.1989,-35.4608,INN NEW HORIZON
345,Wana,PK,63.21,light rain,32.2989,69.5725,Rest House at Wana Camp
346,Broken Hill,AU,62.6,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
347,Ribeira Grande,PT,61.68,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
348,Muros,ES,53.01,few clouds,42.7762,-9.0603,Apartment Av. Castelao
349,Aswan,EG,71.92,clear sky,24.0934,32.907,Nuba Nile
350,Rabo De Peixe,PT,57.2,few clouds,37.8,-25.5833,Quinta das Giestas
351,Noumea,NC,79.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
352,Marrakesh,MA,62.6,broken clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
353,Shenzhen,CN,75.99,overcast clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
359,Terme,TR,55.99,broken clouds,41.2092,36.9739,OTEL GÜVEN TERME
361,Robertsport,LR,80.73,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
362,Guerrero Negro,MX,58.68,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
363,Plettenberg Bay,ZA,61.99,clear sky,-34.0527,23.3716,Thanda Vista B&B
364,Dom Pedrito,BR,64.76,light rain,-30.9828,-54.6731,Hotel Alexandre
365,Cabinda,AO,79.61,overcast clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
367,High Level,CA,53.6,clear sky,58.5169,-117.13600000000001,Days Inn by Wyndham High Level
368,Florianopolis,BR,75.0,clear sky,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
370,Sabratah,LY,61.11,overcast clouds,32.7933,12.4885,تقاطع اثار صبراتة
371,Panzhihua,CN,64.99,clear sky,26.5851,101.7128,Electric Power Hotel
